Site,Species,Years_per_site,Div_by_9,Total_by_sp,Div_by_sp_total,,,
1_17,CLCA,2,,,,,0.4,
1_19,CLCA,1,,,,,0.2,
1_5,CLCA,4,,,,,0.8,
2_1,CLCA,5,,,,,1,
2_2,CLCA,3,,,,,0.6,
2_3,CLCA,4,,,,,0.8,
3_14,CLCA,1,,,,,0.2,
3_15,CLCA,5,,,,,1,
3_16,CLCA,4,3.222222222,9,3.222222222,,0.8,0.644444444
1_17,DITE,2,,,,,0.4,
1_19,DITE,2,,,,,0.4,
1_5,DITE,1,,,,,0.2,
2_1,DITE,0,,,,,0,
2_2,DITE,1,,,,,0.2,
2_3,DITE,0,,,,,0,
3_14,DITE,1,,,,,0.2,
3_15,DITE,1,,,,,0.2,
3_16,DITE,2,1.111111111,7,1.428571429,,0.4,0.222222222
1_17,ELCO,1,,,,,0.2,
1_19,ELCO,0,,,,,0,
1_5,ELCO,0,,,,,0,
2_1,ELCO,0,,,,,0,
2_2,ELCO,0,,,,,0,
2_3,ELCO,0,,,,,0,
3_14,ELCO,0,,,,,0,
3_15,ELCO,0,,,,,0,
3_16,ELCO,0,0.111111111,1,1,,0,0.022222222
1_17,ENES,3,,,,,0.6,
1_19,ENES,3,,,,,0.6,
1_5,ENES,2,,,,,0.4,
2_1,ENES,1,,,,,0.2,
2_2,ENES,3,,,,,0.6,
2_3,ENES,0,,,,,0,
3_14,ENES,4,,,,,0.8,
3_15,ENES,2,,,,,0.4,
3_16,ENES,3,2.333333333,8,2.625,,0.6,0.466666667
1_17,GLSA,1,,,,,0.2,
1_19,GLSA,3,,,,,0.6,
1_5,GLSA,5,,,,,1,
2_1,GLSA,5,,,,,1,
2_2,GLSA,3,,,,,0.6,
2_3,GLSA,2,,,,,0.4,
3_14,GLSA,1,,,,,0.2,
3_15,GLSA,5,,,,,1,
3_16,GLSA,2,3,9,3,,0.4,0.6
1_17,MIOR,3,,,,,0.6,
1_19,MIOR,2,,,,,0.4,
1_5,MIOR,3,,,,,0.6,
2_1,MIOR,0,,,,,0,
2_2,MIOR,2,,,,,0.4,
2_3,MIOR,4,,,,,0.8,
3_14,MIOR,2,,,,,0.4,
3_15,MIOR,1,,,,,0.2,
3_16,MIOR,4,2.333333333,8,2.625,,0.8,0.466666667
1_17,MUER,0,,,,,0,
1_19,MUER,1,,,,,0.2,
1_5,MUER,0,,,,,0,
2_1,MUER,0,,,,,0,
2_2,MUER,1,,,,,0.2,
2_3,MUER,0,,,,,0,
3_14,MUER,0,,,,,0,
3_15,MUER,1,,,,,0.2,
3_16,MUER,0,0.333333333,3,1,,0,0.066666667
1_17,NECI,0,,,,,0,
1_19,NECI,0,,,,,0,
1_5,NECI,0,,,,,0,
2_1,NECI,0,,,,,0,
2_2,NECI,1,,,,,0.2,
2_3,NECI,1,,,,,0.2,
3_14,NECI,0,,,,,0,
3_15,NECI,0,,,,,0,
3_16,NECI,0,0.222222222,2,1,,0,0.044444444
1_17,NEGI,0,,,,,0,
1_19,NEGI,0,,,,,0,
1_5,NEGI,0,,,,,0,
2_1,NEGI,0,,,,,0,
2_2,NEGI,0,,,,,0,
2_3,NEGI,0,,,,,0,
3_14,NEGI,0,,,,,0,
3_15,NEGI,1,,,,,0.2,
3_16,NEGI,0,0.111111111,1,1,,0,0.022222222
1_17,PEMA,5,,,,,1,
1_19,PEMA,4,,,,,0.8,
1_5,PEMA,4,,,,,0.8,
2_1,PEMA,5,,,,,1,
2_2,PEMA,5,,,,,1,
2_3,PEMA,5,,,,,1,
3_14,PEMA,5,,,,,1,
3_15,PEMA,5,,,,,1,
3_16,PEMA,5,4.777777778,9,4.777777778,,1,0.955555556
1_17,PLDU,0,,,,,0,
1_19,PLDU,1,,,,,0.2,
1_5,PLDU,2,,,,,0.4,
2_1,PLDU,0,,,,,0,
2_2,PLDU,0,,,,,0,
2_3,PLDU,0,,,,,0,
3_14,PLDU,0,,,,,0,
3_15,PLDU,0,,,,,0,
3_16,PLDU,0,0.333333333,2,1.5,,0,0.066666667
1_17,SCOC,0,,,,,0,
1_19,SCOC,0,,,,,0,
1_5,SCOC,0,,,,,0,
2_1,SCOC,0,,,,,0,
2_2,SCOC,1,,,,,0.2,
2_3,SCOC,0,,,,,0,
3_14,SCOC,0,,,,,0,
3_15,SCOC,0,,,,,0,
3_16,SCOC,0,0.111111111,1,1,,0,0.022222222
1_17,SCOR,3,,,,,0.6,
1_19,SCOR,3,,,,,0.6,
1_5,SCOR,1,,,,,0.2,
2_1,SCOR,1,,,,,0.2,
2_2,SCOR,0,,,,,0,
2_3,SCOR,0,,,,,0,
3_14,SCOR,4,,,,,0.8,
3_15,SCOR,2,,,,,0.4,
3_16,SCOR,4,2,7,2.571428571,,0.8,0.4
1_17,SOSP,5,,,,,1,
1_19,SOSP,5,,,,,1,
1_5,SOSP,5,,,,,1,
2_1,SOSP,5,,,,,1,
2_2,SOSP,4,,,,,0.8,
2_3,SOSP,5,,,,,1,
3_14,SOSP,5,,,,,1,
3_15,SOSP,5,,,,,1,
3_16,SOSP,5,4.888888889,9,4.888888889,,1,0.977777778
1_17,SOTR,5,,,,,1,
1_19,SOTR,5,,,,,1,
1_5,SOTR,5,,,,,1,
2_1,SOTR,5,,,,,1,
2_2,SOTR,5,,,,,1,
2_3,SOTR,5,,,,,1,
3_14,SOTR,5,,,,,1,
3_15,SOTR,5,,,,,1,
3_16,SOTR,5,5,9,5,,1,1
1_17,TADO,0,,,,,0,
1_19,TADO,0,,,,,0,
1_5,TADO,0,,,,,0,
2_1,TADO,0,,,,,0,
2_2,TADO,0,,,,,0,
2_3,TADO,0,,,,,0,
3_14,TADO,0,,,,,0,
3_15,TADO,2,,,,,0.4,
3_16,TADO,0,0.222222222,1,2,,0,0.044444444
1_17,TAGR,1,,,,,0.2,
1_19,TAGR,0,,,,,0,
1_5,TAGR,0,,,,,0,
2_1,TAGR,0,,,,,0,
2_2,TAGR,0,,,,,0,
2_3,TAGR,0,,,,,0,
3_14,TAGR,0,,,,,0,
3_15,TAGR,1,,,,,0.2,
3_16,TAGR,0,0.222222222,2,1,,0,0.044444444
1_17,TATO,5,,,,,1,
1_19,TATO,5,,,,,1,
1_5,TATO,5,,,,,1,
2_1,TATO,5,,,,,1,
2_2,TATO,5,,,,,1,
2_3,TATO,5,,,,,1,
3_14,TATO,5,,,,,1,
3_15,TATO,5,,,,,1,
3_16,TATO,5,5,9,5,,1,1
1_17,ZATR,3,,,,,0.6,
1_19,ZATR,3,,,,,0.6,
1_5,ZATR,1,,,,,0.2,
2_1,ZATR,0,,,,,0,
2_2,ZATR,0,,,,,0,
2_3,ZATR,1,,,,,0.2,
3_14,ZATR,1,,,,,0.2,
3_15,ZATR,1,,,,,0.2,
3_16,ZATR,1,1.222222222,7,1.571428571,,0.2,0.244444444
